Promotion_ID,Promotion_Info,Promotion_End_Date,Business_Analyst_ID
P000000001,Cash back 1% at Merchant shop,2022-04-10,B000000004
P000000002,True Smart Merchant,2022-04-29,B000000008
P000000003,Get Makro Double point ,2022-05-13,B000000005
P000000004,Lotus Lucky Bag,2023-02-15,B000000002
P000000005,7/11 Up to 20%,2022-08-10,B000000006
P000000006,Cash back 1% at All cafe,2022-08-28,B000000004
P000000007,Cash back 1% at Merchant shop,2022-12-07,B000000008
P000000008,Free iCloud&Apple music 1 month,2022-06-20,B000000003
P000000009,Philips x Biotherm Flash sales,2022-06-22,B000000005
P000000010,Chester's Delivery cash back 40B,2023-03-03,B000000004
P000000011,Get Makro Double point ,2022-04-16,B000000009
P000000012,"Food Panda, flash sale",2023-03-28,B000000009
P000000013,"Food Panda, flash sale",2022-04-15,B000000003
P000000014,Alipay+ rewards,2022-08-16,B000000005
P000000015,Cash back 1% at All cafe,2022-09-10,B000000001
P000000016,10.10 Crazy Flash ,2022-09-05,B000000006
P000000017,Lotus Lucky Bag,2023-03-01,B000000001
P000000018,Free iCloud&Apple music 1 month,2022-05-29,B000000001
P000000019,"Hot offer, coupon 10% discount",2022-07-27,B000000005
P000000020,Alipay+ rewards,2022-08-06,B000000004
P000000021, 9.9 Mega brand sale,2022-12-10,B000000007
P000000022,Get Makro Double point ,2022-06-10,B000000009
P000000023,Cash back 1% at All cafe,2023-02-22,B000000003
P000000024,Top Up at Codashop,2022-09-05,B000000005
P000000025,LAZADA PAYDAY,2022-08-18,B000000002
P000000026,Get Makro Double point ,2023-01-30,B000000006
P000000027,"7Delivery, 60B discount coupon",2023-02-20,B000000010
P000000028,True Smart Merchant,2022-05-27,B000000006
P000000029,"Food Panda, flash sale",2022-11-12,B000000004
P000000030,"7Delivery, 20B discount coupon",2023-02-02,B000000008
P000000031,True point and pay,2023-03-21,B000000006
P000000032,Philips x Biotherm Flash sales,2022-08-18,B000000006
P000000033,True Smart Merchant,2022-11-20,B000000004
P000000034,Alimet Lockdown sale,2022-06-28,B000000004
P000000035,LazMall 9.9,2022-05-26,B000000010
P000000036,"Robinhood, flash sale",2022-12-18,B000000003
P000000037,"7Delivery, 80B discount coupon",2022-07-02,B000000007
P000000038,Free iCloud&Apple music 2 month,2022-10-04,B000000007
P000000039,Game Top Up at Codashop,2022-06-13,B000000008
P000000040,Gucci Lockdown sale,2022-11-04,B000000004
P000000041,Mikka Cafe,2022-07-07,B000000004
P000000042,Alimet Lockdown sale,2022-10-03,B000000007
P000000043,"Food Panda, flash sale",2022-06-19,B000000001
P000000044,7/11 Up to 20%,2022-11-12,B000000010
P000000045,7/11 Up to 10%,2022-07-16,B000000009
P000000046,10.10 Crazy Flash ,2022-12-12,B000000006
P000000047,(New User)Cash back 20B at McDonald,2023-02-16,B000000005
P000000048,Brand Fair,2022-04-24,B000000007
P000000049,Anello Lockdown sale,2022-06-09,B000000008
P000000050,True point and pay,2022-08-26,B000000007
P000000051,True Smart Merchant,2022-12-09,B000000004
P000000052,Cash back 1% at All cafe,2022-11-11,B000000002
P000000053,Free iCloud&Apple music 1 month,2022-08-24,B000000004
P000000054,Game Top Up at Codashop,2023-03-04,B000000004
P000000055,Game Top Up at Codashop,2022-07-04,B000000004
P000000056,Free iCloud&Apple music 2 month,2022-12-21,B000000010
P000000057,"Food Panda, flash sale",2023-02-13,B000000007
P000000058,Flash Coffee,2022-04-15,B000000004
P000000059,Get Makro Double point ,2023-01-12,B000000006
P000000060,"Hot offer, coupon 40% discount",2022-05-30,B000000005
P000000061,Get Makro Double point ,2022-04-21,B000000002
P000000062,Mikka Cafe,2022-09-01,B000000008
P000000063,7/11 Up to 20%,2023-03-19,B000000007
P000000064,Cash back 10% at All cafe,2023-03-23,B000000009
P000000065,Anello Lockdown sale,2022-12-17,B000000001
P000000066,Chester's Delivery cash back 15B,2023-01-19,B000000009
P000000067,Get Makro Double point ,2023-01-04,B000000004
P000000068,Shopper PAYDAY,2022-09-06,B000000004
P000000069,Lotus Lucky Bag,2022-12-04,B000000006
P000000070,Brand Fair,2022-05-05,B000000009
P000000071,True Smart Merchant,2022-06-03,B000000009
P000000072,True Smart Merchant,2023-01-02,B000000008
P000000073,Top Up at Codashop,2022-04-10,B000000005
P000000074,Lotus Lucky Bag,2023-03-12,B000000001
P000000075,10.10 Crazy Flash ,2022-08-31,B000000005
P000000076,Get Makro Double point ,2022-11-23,B000000006
P000000077,Philips x Biotherm Flash sales,2022-11-27,B000000006
P000000078,7/11 Up to 10%,2022-09-23,B000000006
P000000079,LAZADA PAYDAY,2022-12-13,B000000003
P000000080,True point and pay,2022-07-19,B000000009
P000000081,Cash back 1% at All cafe,2022-05-10,B000000001
P000000082,Lotus Lucky Bag,2022-05-14,B000000007
P000000083,LazMall 9.9,2022-11-25,B000000001
P000000084,"Robinhood, flash sale",2023-03-25,B000000009
P000000085,7/11 Up to 20%,2022-10-27,B000000009
P000000086,LAZADA PAYDAY,2022-10-06,B000000008
P000000087,Alipay+ rewards,2023-02-10,B000000007
P000000088,7/11 Up to 20%,2022-09-26,B000000006
P000000089,"7Delivery, 20B discount coupon",2022-08-25,B000000010
P000000090,Cash back 1% at Merchant shop,2022-09-09,B000000001
P000000091,HBO Go Coupon free for 40 baht,2023-02-11,B000000009
P000000092,Shoppee Midmonth Sale,2022-08-18,B000000001
P000000093,Cash back 1% at All cafe,2023-03-16,B000000002
P000000094,Anello Lockdown sale,2022-07-20,B000000009
P000000095,Shoppee Midmonth Sale,2023-01-30,B000000006
P000000096,Free iCloud&Apple music 1 month,2022-08-17,B000000009
P000000097,(New User) Cash back 50B at DairyQueen,2023-02-07,B000000007
P000000098,"Hot offer, coupon 20% discount",2023-03-19,B000000002
P000000099,Free iCloud&Apple music,2022-05-21,B000000005
P000000100,Philips x Biotherm Flash sales,2023-01-29,B000000007
